app_name,user_id,Action,Adventure,Racing,Simulation,Sports,Strategy
,76561198086024607,0,0,0,0,0,0
,mrkienose,0,0,0,0,0,0
,76561198100847242,0,0,0,0,0,0
,obamaisblackiswear,0,0,0,0,0,0
,76561198065733775,0,0,0,0,0,0
Always The Same Blue Sky... Original Soundtrack,druidisbea,0,1,0,0,0,0
,76561198092247536,0,0,0,0,0,0
GunWorld,overrusedmale,1,0,0,0,0,0
,76561198073569913,0,0,0,0,0,0
,feelgoodincc,0,0,0,0,0,0
,76561198086216249,0,0,0,0,0,0
,76561198054009234,0,0,0,0,0,0
,76561198067000091,0,0,0,0,0,0
Firewood,torektornottorekt,0,1,0,0,0,0
,76561198011892907,0,0,0,0,0,0
,76561198089346291,0,0,0,0,0,0
,lordtumnas,0,0,0,0,0,0
FSX Steam Edition: Sindal Airport Add-On,76561198032083566,0,0,0,1,0,0
,76561198063059230,0,0,0,0,0,0
The Dungeon of Destiny,shmaz1,0,0,0,0,0,0
,76561198066519378,0,0,0,0,0,0
,76561198088698631,0,0,0,0,0,0
,76561198069588929,0,0,0,0,0,0
Viking Brothers,brumboy123,1,0,0,0,0,1
Torn Tales,76561198075011370,0,1,0,0,0,0
,76561198072657986,0,0,0,0,0,0
Box Maze - Xmas Skins Pack,skooberdoober,1,1,0,0,0,1
Fantasy Grounds - Savage Suzerain GameMasters Edition (Savage Worlds),krill97,0,0,0,0,0,1
,thegroovehaarp,0,0,0,0,0,0
,76561198120726751,0,0,0,0,0,0
,Handy_Jam,0,0,0,0,0,0
,76561198039159831,0,0,0,0,0,0
Pid,76561197986613952,0,1,0,0,0,0
,neawin,0,0,0,0,0,0
,dr_evilcat,0,0,0,0,0,0
,76561198083748106,0,0,0,0,0,0
Magicka: The Stars Are Left,76561198054137611,1,0,0,0,0,0
,ImaTigerRaa,0,0,0,0,0,0
Gun Bombers,NeroDarkMC,1,0,0,0,0,0
,hoarfrostkid,0,0,0,0,0,0
Hatch and Slay,76561198027585582,1,0,0,0,0,0
,76561198084165280,0,0,0,0,0,0
,76561198067807904,0,0,0,0,0,0
Jam Studio VR - David Ellefson Metal Factory,76561198072862813,0,0,0,0,0,0
,Lickidactyl,0,0,0,0,0,0
,76561198074898069,0,0,0,0,0,0
,76561198100375532,0,0,0,0,0,0
,76561198076004132,0,0,0,0,0,0
,76561198057663321,0,0,0,0,0,0
,76561198072194263,0,0,0,0,0,0
,76561198073733334,0,0,0,0,0,0
Alien Rage - Unlimited,76561198091250895,1,0,0,0,0,0
,Master_Pelon,0,0,0,0,0,0
White Day - Horror Costume - Hee-Min Lee,76561198058679352,1,1,0,0,0,0
,76561198102196892,0,0,0,0,0,0
,76561197978099561,0,0,0,0,0,0
,76561197972443914,0,0,0,0,0,0
Super Furball,76561198070732121,1,1,0,0,0,0
b,76561198080391811,0,0,0,0,0,0
,76561198094468189,0,0,0,0,0,0
Xark,76561198013738564,0,0,0,0,0,0
,76561198071095077,0,0,0,0,0,0
,76561198091973414,0,0,0,0,0,0
,76561198044204914,0,0,0,0,0,0
,Pokeywokey,0,0,0,0,0,0
,76561198140197987,0,0,0,0,0,0
,76561198082405227,0,0,0,0,0,0
Saw,76561198090129532,0,0,0,0,0,0
,76561198046488827,0,0,0,0,0,0
,76561198090129870,0,0,0,0,0,0
,Rezzpit,0,0,0,0,0,0
,76561198094644859,0,0,0,0,0,0
,TheOfficalDiabl0,0,0,0,0,0,0
,76561198052032850,0,0,0,0,0,0
,76561198055365460,0,0,0,0,0,0
,76561198048706290,0,0,0,0,0,0
,76561198051442894,0,0,0,0,0,0
,fochisle,0,0,0,0,0,0
Hero of Many,76561198059610959,1,1,0,0,0,0
Prince of Persia: The Two Thrones™,76561198083750258,1,1,0,0,0,0
,Mikkyb,0,0,0,0,0,0
Deathmatch Classic,karateslap,1,0,0,0,0,0
,kanelim6923,0,0,0,0,0,0
,boreycriggs,0,0,0,0,0,0
,76561198096934892,0,0,0,0,0,0
,76561198060489587,0,0,0,0,0,0
,turd_dumping,0,0,0,0,0,0
To End All Wars,76561198081866623,0,0,0,1,0,1
,76561198101889493,0,0,0,0,0,0
,76561198071366169,0,0,0,0,0,0
Operation Babel: New Tokyo Legacy / 東京新世録 オペレーションバベル - Digital Soundtrack / デジタル・サウンドトラック,76561197994346408,0,0,0,0,0,0
,76561198085852805,0,0,0,0,0,0
,frankfurters,0,0,0,0,0,0
,76561198171166530,0,0,0,0,0,0
,usocrackedouocu,0,0,0,0,0,0
,btrab1,0,0,0,0,0,0
,76561198069088118,0,0,0,0,0,0
,76561198072058888,0,0,0,0,0,0
Pertinence,aretokas,1,1,0,0,0,0
,yolofaceguy,0,0,0,0,0,0
,amberelliss,0,0,0,0,0,0
,76561198091093528,0,0,0,0,0,0
,76561198095941870,0,0,0,0,0,0
,76561197987482998,0,0,0,0,0,0
Atlas Reactor,76561198081474938,0,0,0,0,0,1
,76561198087028008,0,0,0,0,0,0
,danmidge,0,0,0,0,0,0
Pathologic Classic HD,76561198046583202,1,1,0,0,0,0
,Chrisothe3rd,0,0,0,0,0,0
Boundel: The Second Era,benchie,0,0,0,0,0,0
,76561198021241077,0,0,0,0,0,0
,76561198091525449,0,0,0,0,0,0
Rise of Flight: Bloody April,76561198089505535,0,0,0,1,0,0
,76561198016740850,0,0,0,0,0,0
,sirkibble1,0,0,0,0,0,0
,76561198042117921,0,0,0,0,0,0
Sniper Elite 3,76561198049568038,1,1,0,0,0,0
Pane In The Glass,76561198047814645,0,0,0,0,0,0
Francisca,76561198064445006,1,1,0,0,0,0
Fantasy Grounds - Gaming Pack #2: Arcana Evolved (Token Pack),SunnyDandRum,0,0,0,0,0,1
,antonio7731,0,0,0,0,0,0
,CallTripleZero,0,0,0,0,0,0
,76561198042333661,0,0,0,0,0,0
,76561198050928971,0,0,0,0,0,0
,svaporwolfzs,0,0,0,0,0,0
,76561198065839323,0,0,0,0,0,0
,sam_broomby,0,0,0,0,0,0
Steam Starter Pack,76561198211853979,0,1,0,0,0,1
,76561198056645429,0,0,0,0,0,0
,XxThundaxX,0,0,0,0,0,0
,76561198077062769,0,0,0,0,0,0
,c3rtaind3ath,0,0,0,0,0,0
,Egonegro,0,0,0,0,0,0
,adammay98,0,0,0,0,0,0
,76561198086388497,0,0,0,0,0,0
,76561198061503100,0,0,0,0,0,0
,76561198042146456,0,0,0,0,0,0
Hawk for DCS World,Remo191,0,0,0,1,0,0
Learn Japanese To Survive! Katakana War,76561198056885109,0,1,0,0,0,1
,ak_opt1,0,0,0,0,0,0
,76561197965279916,0,0,0,0,0,0
,76561198046388964,0,0,0,0,0,0
Bientôt l'été,TKmelo,0,0,0,1,0,0
,unicornattackz,0,0,0,0,0,0
,ryanqualizza96,0,0,0,0,0,0
,76561198064834139,0,0,0,0,0,0
,HomelessGoomba9,0,0,0,0,0,0
,76561198083409490,0,0,0,0,0,0
,gonesexuual,0,0,0,0,0,0
Way of the Samurai 3,76561198098676349,1,1,0,0,0,0
TASTEE: Lethal Tactics - Map: Jurassic Narc,NexusAU,0,0,0,0,0,1
,76561198080990766,0,0,0,0,0,0
,76561198069754179,0,0,0,0,0,0
,76561198060146647,0,0,0,0,0,0
GGXrd System Voice - MILLIA RAGE,76561198108304155,1,0,0,0,0,0
,sppitt,0,0,0,0,0,0
,76561198046726002,0,0,0,0,0,0
,76561198089997524,0,0,0,0,0,0
Dead Sky,76561198099228395,1,0,0,0,0,0
,brumboy123,0,0,0,0,0,0
,AustralianBarbarian,0,0,0,0,0,0
,76561198072754949,0,0,0,0,0,0
Occurrence at JCR Outpost,kiwibarrage,0,1,0,0,0,0
,epiclolXD,0,0,0,0,0,0
Thrills & Chills - Roller Coasters,76561198205401979,0,0,0,0,0,0
Baskhead Training,ricardorique,0,0,0,0,0,0
STLD Redux: Episode 02,76561198075815368,1,1,0,0,0,1
,76561198060718927,0,0,0,0,0,0
,melkeoh,0,0,0,0,0,0
The Grimsworth Reports: Woodfall,76561198084938724,0,1,0,0,0,0
,76561198084470651,0,0,0,0,0,0
,76561198061123117,0,0,0,0,0,0
,76561198045684734,0,0,0,0,0,0
Kabitis in Bibou's Game,optamusjebus,1,1,0,0,0,0
,76561198050652179,0,0,0,0,0,0
,76561198073043666,0,0,0,0,0,0
,76561198091524388,0,0,0,0,0,0
,76561198075106055,0,0,0,0,0,0
,76561198043681630,0,0,0,0,0,0
,GuihZito,0,0,0,0,0,0
,76561198104126159,0,0,0,0,0,0
,76561198032593737,0,0,0,0,0,0
,76561198091508086,0,0,0,0,0,0
,76561198064023906,0,0,0,0,0,0
,r3znoff,0,0,0,0,0,0
,slaughter2248,0,0,0,0,0,0
,76561198025528021,0,0,0,0,0,0
,76561198029082146,0,0,0,0,0,0
,KopKunGza,0,0,0,0,0,0
,aamili,0,0,0,0,0,0
Valentine Panic,abcddbca,0,0,0,1,0,1
MDK2 HD,76561198094593720,1,0,0,0,0,0
,76561198067972716,0,0,0,0,0,0
,76561198044806412,0,0,0,0,0,0
Train Simulator: SW1500 Switcher Loco Add-On,76561198050424491,0,0,0,1,0,0
,76561198087329244,0,0,0,0,0,0
,76561198062866816,0,0,0,0,0,0
,76561198069172681,0,0,0,0,0,0
,76561198058852567,0,0,0,0,0,0
,fishcheese,0,0,0,0,0,0
METAL GEAR SOLID V: THE PHANTOM PAIN - Parade Tack,76561198057654325,1,1,0,0,0,0
Ancient Planet Tower Defense,B1elMoura,0,0,0,0,0,1
,76561198092792674,0,0,0,0,0,0
,76561198280083270,0,0,0,0,0,0
,to-your-left,0,0,0,0,0,0
,76561198034575465,0,0,0,0,0,0
Crusaders of the Lost Idols - Elite Starter Pack,billread99,0,0,0,0,0,0
,EclipseProduction,0,0,0,0,0,0
,76561198078152110,0,0,0,0,0,0
,76561198038904114,0,0,0,0,0,0
S.K.I.L.L. - Special Force 2 - Infantry Pack,76561198078218417,1,1,0,0,1,1
Hallowed Encounter,Name_not_found,1,1,0,0,0,0
,althanoob,0,0,0,0,0,0
,76561198063849448,0,0,0,0,0,0
,76561198111806647,0,0,0,0,0,0
,76561197996639214,0,0,0,0,0,0
,76561198018365176,0,0,0,0,0,0
,agent_tarm,0,0,0,0,0,0
,76561198002975693,0,0,0,0,0,0
,76561198071095011,0,0,0,0,0,0
ROBOT MASTER,76561198080038043,0,0,0,0,0,1
,76561198092659141,0,0,0,0,0,0
Lucy -The Eternity She Wished For-,tomyang1117,0,0,0,1,0,0
Torment: Tides of Numenera,BroomyBroom,0,1,0,0,0,1
,sh06un1,0,0,0,0,0,0
,killik119,0,0,0,0,0,0
,76561198040822244,0,0,0,0,0,0
,76561198045633222,0,0,0,0,0,0
,bobxxt,0,0,0,0,0,0
Why Am I Dead At Sea,76561198044313905,0,1,0,0,0,0
SLI-FI: 2D Planet Platformer,76561198063648921,1,1,0,0,0,1
,76561198060661864,0,0,0,0,0,0
,76561198078076075,0,0,0,0,0,0
,java-script,0,0,0,0,0,0
,karanuppal72,0,0,0,0,0,0
Train Simulator: Class 86 Loco Add-On,76561198016888498,0,0,0,1,0,0
,azzythenig,0,0,0,0,0,0
,76561198062161301,0,0,0,0,0,0
,76561198039446899,0,0,0,0,0,0
MAGIX Video deluxe 2017 Steam Edition,blackomega63,0,0,0,0,0,0
,76561198092362090,0,0,0,0,0,0
,AEDonte,0,0,0,0,0,0
,Lanocra,0,0,0,0,0,0
,AFlyingBrick,0,0,0,0,0,0
,76561198034186417,0,0,0,0,0,0
MineSweeper VR,arachula,0,0,0,0,0,0
WakeUp!,76561198082776903,0,1,0,0,0,0
AstronjumpBaby,Jabberwokie33,1,0,0,0,0,0
,76561198036784635,0,0,0,0,0,0
Fantasy Grounds - H2-The Maze Under Stormpeak 4E Fantasy (Token Pack),DaP3rs0nGuy12,0,0,0,0,0,1
,wantmahbody,0,0,0,0,0,0
,76561197963805069,0,0,0,0,0,0
,itdatspicymemeboi,0,0,0,0,0,0
,MrZankkio,0,0,0,0,0,0
,76561198069970674,0,0,0,0,0,0
,2ZESTY4ME,0,0,0,0,0,0
,76561198087789988,0,0,0,0,0,0
,76561197983367658,0,0,0,0,0,0
,Harv3yy,0,0,0,0,0,0
,supercaptainova,0,0,0,0,0,0
,JarpsAU,0,0,0,0,0,0
Hinterland,SirParadiseLost,0,0,0,0,0,1
,76561198085169531,0,0,0,0,0,0
,76561198065385617,0,0,0,0,0,0
,76561198045238077,0,0,0,0,0,0
,76561198039397758,0,0,0,0,0,0
Daylight,76561198049963283,1,1,0,0,0,0
,lockthecar,0,0,0,0,0,0
,76561198064028876,0,0,0,0,0,0
Estiman,76561198068118109,0,0,0,0,0,0
,76561198123519486,0,0,0,0,0,0
,biswop,0,0,0,0,0,0
,time4b,0,0,0,0,0,0
,76561198066516658,0,0,0,0,0,0
,FixItFox,0,0,0,0,0,0
,76561198081437624,0,0,0,0,0,0
Abrix the robot - rooms with lasers DLC,Celatum,0,0,0,0,0,1
,2398,0,0,0,0,0,0
,76561198059360034,0,0,0,0,0,0
,76561198202398471,0,0,0,0,0,0
Manastorm: Champions of G'nar,flamingpixelations,0,0,0,0,0,0
,atornaz,0,0,0,0,0,0
VR Mahjong worlds,nickbutt55,0,0,0,0,0,0
,funkyseefunkydo,0,0,0,0,0,0
Fantasy Grounds - Town Backdrop: Dulwich (5E),76561198062295676,0,0,0,0,0,1
,76561197968410244,0,0,0,0,0,0
,76561198061495797,0,0,0,0,0,0
,ezratm14,0,0,0,0,0,0
Train Simulator: AT&N Consolidation Class 280-157 Loco Add-On,76561198055786959,0,0,0,1,0,0
,76561198071390096,0,0,0,0,0,0
,76561198091454024,0,0,0,0,0,0
Spiritual Warfare & Wisdom Tree Collection,76561198086216935,1,1,0,0,0,0
Fantasy Grounds - A05: Winterflower (5E),13ird9u,0,0,0,0,0,1
,76561198082528161,0,0,0,0,0,0
Tiny Thief,TehRealists,0,1,0,0,0,0
,76561198056819834,0,0,0,0,0,0
,xXSlimySlimeXx,0,0,0,0,0,0
,76561198079355573,0,0,0,0,0,0
,76561198046713163,0,0,0,0,0,0
,76561197960565429,0,0,0,0,0,0
,76561198038802535,0,0,0,0,0,0
Lightwire,76561198045713243,0,0,0,0,0,1
CYBER JOLT,zrustz16,0,0,0,0,0,0
,sporelife,0,0,0,0,0,0
,76561198039978256,0,0,0,0,0,0
,Wolffeeder,0,0,0,0,0,0
Boxing Saga,76561198072944940,0,0,0,0,0,0
,76561198052562542,0,0,0,0,0,0
,76561198064910840,0,0,0,0,0,0
,76561198131096197,0,0,0,0,0,0
Gotham City Impostors Free to Play: XP Boost - Team,76561198061499956,1,0,0,0,0,0
,76561198087095625,0,0,0,0,0,0
,76561198045711821,0,0,0,0,0,0
,76561197965128569,0,0,0,0,0,0
,76561198081470570,0,0,0,0,0,0
,76561198027601501,0,0,0,0,0,0
,76561197975689907,0,0,0,0,0,0
,76561198061466194,0,0,0,0,0,0
,76561198089480046,0,0,0,0,0,0
,76561198068272175,0,0,0,0,0,0
,76561198094253473,0,0,0,0,0,0
,76561198265081359,0,0,0,0,0,0
,76561198073067096,0,0,0,0,0,0
Panda Run,76561198065949365,0,1,0,0,0,0
Son Korsan,76561198078152110,1,0,0,0,0,1
,ghostccamm,0,0,0,0,0,0
Brawlhalla - Collectors Pack,76561198120107003,1,0,0,0,0,0
VEGAS Pro 14 Edit Steam Edition,76561198068723469,0,0,0,0,0,0
,76561198058349321,0,0,0,0,0,0
Tally Ho,76561198066042664,0,1,0,0,0,0
Blameless,IamOG,0,1,0,0,0,0
,76561198045273278,0,0,0,0,0,0
,Code_29,0,0,0,0,0,0
Colours of Magic: Aqua Teeter,portal_2_3,0,0,0,0,0,0
,76561198079823293,0,0,0,0,0,0
,andrew2010,0,0,0,0,0,0
,76561198086870166,0,0,0,0,0,0
,180577,0,0,0,0,0,0
Forts - Soundtrack,76561197982704049,1,0,0,0,0,1
Shn!p,8392158,0,0,0,0,0,0
Screamer 2,76561198078814874,0,0,1,1,1,0
,76561198029187828,0,0,0,0,0,0
,142331415,0,0,0,0,0,0
,helloiambaymax,0,0,0,0,0,0
,GhostBiatch,0,0,0,0,0,0
Ludu,76561198099202006,0,1,0,0,0,0
,ynats,0,0,0,0,0,0
Square's Route,76561198057049076,0,0,0,0,0,0
,76561198079348388,0,0,0,0,0,0
,76561198063829577,0,0,0,0,0,0
Bad birthday,Emarques,0,1,0,0,0,0
,user1ffr,0,0,0,0,0,0
,76561198071513747,0,0,0,0,0,0
,76561198073972435,0,0,0,0,0,0
,76561198092577437,0,0,0,0,0,0
,76561198075424388,0,0,0,0,0,0
,chaddybob,0,0,0,0,0,0
,76561198049951543,0,0,0,0,0,0
,76561198070060140,0,0,0,0,0,0
,stoogekebab,0,0,0,0,0,0
,CurryMunchingIsLyfe,0,0,0,0,0,0
,TheMightyZingy,0,0,0,0,0,0
,76561198059891594,0,0,0,0,0,0
,76561198068301819,0,0,0,0,0,0
,76561198070169273,0,0,0,0,0,0
,76561198070475810,0,0,0,0,0,0
Essential Helicopters,Firdorn,0,0,0,1,0,0
,76561198081604247,0,0,0,0,0,0
,_Moridin,0,0,0,0,0,0
,SequinMilkshakes,0,0,0,0,0,0
Planet Coaster - Knight Rider™ K.I.T.T. Construction Kit,76561198060170459,0,0,0,1,0,1
,pants4real,0,0,0,0,0,0
,76561198073638107,0,0,0,0,0,0
Disposable Heroes Soundtrack,aushauhsa,1,1,0,0,0,0
911: First Responders®,76561198054894628,0,0,0,1,0,1
,76561198069659994,0,0,0,0,0,0
,76561198063906222,0,0,0,0,0,0
,76561198051381526,0,0,0,0,0,0
,76561198049285436,0,0,0,0,0,0
Age of Barbarian Extended Cut,76561198063417888,1,1,0,0,0,0
,76561198078024078,0,0,0,0,0,0
,76561198075606287,0,0,0,0,0,0
,76561198064582506,0,0,0,0,0,0
,76561198071889308,0,0,0,0,0,0
Fantasy Grounds - Mini-Dungeon #029: Heart of the Sacred Dawn (5E),76561198049523484,0,0,0,0,0,1
,NathanWilson,0,0,0,0,0,0
Medicalholodeck Free,lyliux,0,0,0,0,0,0
,76561198064895526,0,0,0,0,0,0
,76561198026686229,0,0,0,0,0,0
,randomcomment,0,0,0,0,0,0
,supa_man141,0,0,0,0,0,0
DW8E: Castle and Scenario Pack,76561198092591927,1,0,0,0,0,0
,76561197989209339,0,0,0,0,0,0
,76561198013544715,0,0,0,0,0,0
,76561198084127890,0,0,0,0,0,0
,StandOffLion996,0,0,0,0,0,0
,waxywings,0,0,0,0,0,0
,76561198073440510,0,0,0,0,0,0
Tiny and Big: Grandpa's Leftovers,76561198047749507,0,0,0,0,0,0
,76561198068666596,0,0,0,0,0,0
,EchoXSilence,0,0,0,0,0,0
,onlybloody,0,0,0,0,0,0
,76561198080616529,0,0,0,0,0,0
,DoctorCryies,0,0,0,0,0,0
,76561198018870271,0,0,0,0,0,0
,76561198106506089,0,0,0,0,0,0
,76561198070995743,0,0,0,0,0,0
,76561198053006711,0,0,0,0,0,0
,76561198045145306,0,0,0,0,0,0
Far Cry® 4 Valley of the Yetis,76561198062445453,1,1,0,0,0,0
,itsmips,0,0,0,0,0,0
,76561198071057875,0,0,0,0,0,0
,76561198080543893,0,0,0,0,0,0
,76561198026926747,0,0,0,0,0,0
,jsjsdasdjksasjk,0,0,0,0,0,0
,76561197989691928,0,0,0,0,0,0
,76561198019835047,0,0,0,0,0,0
,76561198080906862,0,0,0,0,0,0
Sins of a Solar Empire®: Rebellion,76561198080731295,0,0,0,0,0,1
,plowzy_,0,0,0,0,0,0
,pandabear6921,0,0,0,0,0,0
,76561198021402409,0,0,0,0,0,0
,76561198082141836,0,0,0,0,0,0
,76561198059622971,0,0,0,0,0,0
,Infernus_Animositas,0,0,0,0,0,0
,76561198137483741,0,0,0,0,0,0
Shining Plume,76561198057772084,0,1,0,0,0,1
,76561198063637437,0,0,0,0,0,0
,76561198076627471,0,0,0,0,0,0
,76561198040335724,0,0,0,0,0,0
,Iammin,0,0,0,0,0,0
,76561197966804339,0,0,0,0,0,0
,76561198045195185,0,0,0,0,0,0
,assassin_bunny,0,0,0,0,0,0
"Botology - Map ""Targul"" for Survival Mode",Trollz4ya,1,0,0,0,0,0
,76561198081208786,0,0,0,0,0,0
,76561197991531328,0,0,0,0,0,0
,GasRG,0,0,0,0,0,0
,76561198063085744,0,0,0,0,0,0
Casino Slot Machines - The Golden Shrine Casino,_glitchy_,0,1,0,1,1,0
,76561198086725757,0,0,0,0,0,0
,76561198068076807,0,0,0,0,0,0
,76561198049669954,0,0,0,0,0,0
The Reluctant God,myeyesarepuzzlepieces,0,0,0,0,0,0
Rocksmith® 2014 – Disturbed - “Inside the Fire”,76561198049207718,0,0,0,1,0,0
,Misapo,0,0,0,0,0,0
Think of the Children,76561198067741817,1,0,0,0,0,0
,76561198061604395,0,0,0,0,0,0
,76561198091406997,0,0,0,0,0,0
,TheRealCammyCool,0,0,0,0,0,0
,76561198104647956,0,0,0,0,0,0
DARK SOULS™ II,76561198006252028,1,0,0,0,0,0
,76561198025613632,0,0,0,0,0,0
rFactor Demo,76561198090815451,0,0,1,1,1,0
Fragments of Him,76561198095560253,0,0,0,0,0,0
Blockstorm,2d4nk4m3,1,0,0,0,0,0
,76561198066707402,0,0,0,0,0,0
,1873410337,0,0,0,0,0,0
Formula Truck 2013,76561198112094032,0,0,1,1,1,0
,76561198074334669,0,0,0,0,0,0
BattleRush,76561198030601352,1,1,0,0,0,0
,once-i-was-7-years-old,0,0,0,0,0,0
CameraBag Photo,76561198087018128,0,0,0,0,0,0
,valiantstar1,0,0,0,0,0,0
,76561198057035287,0,0,0,0,0,0
Bit Blaster XL Soundtrack,76561198055760749,1,0,0,0,0,0
,amabsoluzt,0,0,0,0,0,0
