developer,price,items_count,year
Galaxy Gate,Free to Play,2017-06-30,2014
Rock Crow,Free To Play,2015-11-01,2016
Musopia,Free,2011-12-01,2016
2015-02-13,Free,2014-04-18,2017
Noio,Free,2013-01-12,2017
N3V Games,Free,2017-07-07,2017
2016-08-15,Free To Play,2015-07-31,2017
2005-10-12,Free,2016-04-28,2017
2016-08-25,Free to Play,2017-12-03,2013
Pixel with Hat,Free,2017-12-06,2017
Silent Legends,Free To Play,2014-07-25,2017
SandorHQ,Free,2017-10-19,2017
Galaxy Gate,Free,2017-08-07,2017
Michael Zahniser,Free to Play,2016-10-25,2015
Spark Plug Games,Free To Play,2009-07-17,2015
EXOR Studios,Free,2014-07-28,2008
Counterplay Games Inc.,Free To Play,2017-04-28,2016
"Binary Zoo,The Game Creators",Free to Play,2011-09-05,2017
2017-06-21,Free,2016-08-26,2017
Mokus,Free to Play,2015-03-03,2016
The SKSE Team,Free,2017-05-11,2015
vikingfabian.com,Free to Play,2015-07-24,2016
Expect Studio,Free To Play,2014-04-25,2017
Funcom,Free To Play,2014-05-27,2001
2011-10-12,Free,2015-02-10,2013
BYU Animation -  Class of 2017,Free To Play,2015-12-22,2017
Allods Team,Free To Play,2016-05-27,2017
Mojang,Free,2014-09-12,2017
"CRAZYDIAMOND CO., LTD.",Free,Winter 2018,2016
Quiet River,Free,2016-06-16,2017
Q4 2017,Free to Play,2014-03-17,2012
Bandit-1,Free,2015-12-23,2016
Videojuegos Fermín,Free To Play,2014-12-11,2017
Michael Zahniser,Free,2017-10-24,2015
Team Chivalry,Free,2017-06-16,2007
BlueLine Games,Free to Play,2017-12-14,2015
Crytek,Free,2013-08-08,2017
Matthew Brown,Free,2013-10-22,2014
Goldbar Games,Free,2016-03-29,2017
2015-09-08,Free,2015-07-17,2015
@YearOfTheBob,Free,2016-12-15,2017
Black Pants Studio,Free,2017-08-10,2016
5th Planet Games,Free To Play,2016-01-26,2017
2017-04-03,Free,2009-01-08,2003
Eforb,Free to Play,2017-08-29,2015
Iron 27,Free To Play,2016-05-03,2017
"Monolith Productions, Inc.",Free to Play,2012-11-01,2012
"Dragonfly GF Co., LTD",Free to Play,2017-09-13,2013
Ludomotion,Free,2016-12-07,2017
2006-02-14,Free,2017-04-24,2017
2002-03-12,Free,2014-12-22,21 J
Codename Entertainment Inc.,Free to Play,2017-06-01,2015
Iron 27,Free To Play,2014-06-13,2016
Endless Loop Studios,Free,2015-11-20,2016
Sir Bedlam Productions,Free to Play,2017-07-06,2016
Crunchy Games,Free to Play,2010-04-24,2016
2013-12-03,Free To Play,2016-03-31,2016
Parallaxian Pty Ltd,Free to Play,2008-11-21,2016
Deca Games OU,Free,2017-01-23,2016
Fork Particle Games,Free To Play,2012-11-09,2016
2017-06-12,Free to Play,2016-05-19,2017
For All To Play,Free to Play,2013-06-24,2016
2015-06-26,Free,2015-09-30,2014
Ankama Studio,Free to Play,2017-05-18,2015
2017-06-21,Free,2013-12-10,2016
2017-09-15,Free To Play,2010-06-01,1998
Biodrone Studios,Free To Play,2017-04-11,2016
Jeff Trier,Free to Play,2017-11-29,2015
2017-06-26,Free,2015-05-12,2016
YFC games,Free To Play,2016-11-04,2016
Oblivionburn Productions,Free,2010-11-18,2015
2015-04-24,Free,2015-09-04,2013
2011-06-21,Free To Play,2017-04-13,2017
Cybertime System,Free to Play,2016-09-22,2015
Trion Worlds,Free to Play,Early 2018,2013
Double Coconut,Free To Play,2017-08-03,2017
ICE Entertainment,Free,2016-09-22,2015
2014-05-27,Free,2015-08-24,2017
Tigerish Games,Free to Play,2015-09-30,2015
Neoclassic Games,Free,2017-01-20,2016
ICE Entertainment,Free to Play,2015-11-09,2015
Holotech Studios,Free,2017-07-24,2016
FlyAnvil,Free,2016-10-06,2016
2014-11-14,Free To Play,2016-05-18,2016
DeathMofuMofu,Free,2015-03-02,2017
KOG,Free to Play,2008-09-30,2014
2017-10-26,Free,2016-12-30,2011
2017-09-14,Free,2017-11-06,2017
2015-07-17,Free,2016-02-29,2017
Wholetone Games,Free to Play,2011-12-20,2016
chlsea,Free,2004-06-02,2017
"Far East War Development Team,Relic",Free To Play,2011-07-26,2016
MercurySteam,Free To Play,2012-12-10,2017
Little Big MMO,Free To Play,2001-10-31,2017
2017-02-21,Free To Play,2017-03-15,2015
Albatros Softworks,Free,2015-11-20,2017
The Simutrans Team,Free,2015-07-29,2016
2015-03-13,Free to Play,2017-11-09,2017
2016-12-30,Free To Play,2016-08-30,2011
Robot Entertainment,Free to Play,2016-06-14,2017
2016-09-09,Free,2014-12-23,2014
Colossal Order Ltd.,Free,2014-06-06,2017
NS STUDIO,Free To Play,2006-12-01,2017
Square Enix,Free to Play,2017-11-16,2017
Semicolon;,Free to Play,2014-12-01,2017
Silden,Free,2015-04-15,2017
Milestone S.r.l.,Free,2017-05-04,2017
Laminar Research,Free,2016-10-28,2017
Youren,Free to Play,2017-11-14,2017
Atelier 801,Free to Play,2012-08-03,2015
FantaBlade Network,Free,2017-07-25,2016
2009-05-26,Free To Play,2017-04-07,2017
2012-05-15,Free,2013-11-04,2017
Creability,Free To Play,2015-11-17,2017
Petroglyph,Free to Play,2015-05-28,2015
Monster Games,Free,2016-09-01,2017
2015-11-09,Free to Play,2017-01-02,2017
Quality Simulations,Free to Play,2017-04-18,2015
Unwonted Studios,Free to Play,2017-07-25,2015
2017-12-04,Free To Play,2017-10-17,2016
2012-12-10,Free,2017-10-20,2016
Colossal Order Ltd.,Free,2017-02-23,2016
Uber Entertainment,Free to Play,2017-11-02,2012
2016-09-13,Free,2015-03-17,2013
2015-06-09,Free,2015-12-18,2014
2010-09-17,Free,2015-06-01,2016
"KOEI TECMO GAMES CO., LTD.",Free to Play,2015-01-16,2017
3D Realms,Free,2015-10-23,1996
Nov 2017,Free,TBD,1999
Ionut Lucian Achiricioaei,Free To Play,2017-05-04,2016
"Future Games Select,Cayle George",Free,2015-07-17,2017
Keinart Lobre,Free To Play,2016-08-09,2016
2015-06-02,Free,2016-12-07,2015
StudioQi,Free To Play,2016-03-24,2016
CleanWaterSoft,Free to Play,2012-10-12,2017
Artifice Studio,Free,1997-02-28,2013
Team Psykskallar,Free,2013-02-05,2013
GSC Game World,Free,2017-03-07,2017
2013-01-22,Free,2016-07-06,2014
Dire Wolf Digital,Free To Play,2015-10-05,2016
2013-01-04,Free,2015-07-31,1997
"Stardock Entertainment,Oxide Games",Free,2016-12-22,2017
"Relic Entertainment,Modern Combat Development Team,Black Sand Studios",Free,2007-01-23,2012
"Riposte Games &amp; Co, Inc",Free To Play,2017-08-31,2017
Smartbig Corportion,Free To Play,1993-09-24,2012
"CAPCOM Co., Ltd.",Free,2015-08-26,2016
Fatshark,Free to Play,2011-09-30,2016
"Valkyrie Entertainment, LLC",Free To Play,2016-07-25,2017
"WEBZENONNET Co., Ltd.",Free to Play,2017-06-20,2016
CPsoft,Free To Play,2017-04-14,2016
CivilSavages,Free to Play,2016-01-11,2016
Creaky Lantern Games,Free,2017-01-06,2013
2014-04-15,Free,2009-11-12,2016
Katsudou Mangaya,Free To Play,2012-06-12,2016
2015-10-09,Free,2017-10-09,2014
ESTsoft Corp.,Free to Play,2017-06-20,2016
Nexon,Free to Play,2015-05-12,2014
1998-10-31,Free,2016-11-29,2015
Dragom,Free,2017-11-22,2016
"Visual Wordplay,Godline",Free To Play,Coming Soon,2016
Futuremark,Free,2015-08-01,Jul 
2014-12-04,Free,2014-12-16,2017
VooFoo Studios,Free,2017-10-30,2017
Anton Riot,Free,2017-11-16,2017
Felip Guimerà,Free to Play,2014-06-25,2016
Millenium Project Enterprises,Free to Play,2016-05-26,2001
HexWar Games,Free,2016-11-08,2017
Infinity Plus 2,Free to Play,2012-02-14,2014
Deathink,Free To Play,2016-10-16,2017
2017-04-19,Free,2017-10-10,2017
"ARC SYSTEM WORKS Co., Ltd.,TOYBOX Inc.",Free,2017-04-24,2017
2017-06-22,Free to Play,2017-09-12,2004
"Hassey Enterprises, Inc.",Free to Play,2016-04-02,2014
"Seth O'Dale,Zeph McKinnon",Free to Play,2017-03-28,2016
Desert Owl Games LLC,Free to Play,2013-08-28,2016
Vostok Games,Free to Play,2016-08-22,2015
SkyRiver Studios,Free to Play,2017-04-25,2017
SGS Team,Free,2017-09-14,2016
2017-06-07,Free To Play,2016-03-18,2006
Playsport Games,Free to Play,2016-10-06,2016
2013-11-14,Free To Play,2017-02-14,2017
Nexon,Free to Play,2017-05-22,2012
2016-07-12,Free To Play,2011-01-26,2003
Dark Artz Entertainment,Free to Play,2015-02-12,2012
White Dog,Free To Play,2016-04-29,2017
Digitalmindsoft,Free to Play,2015-10-16,2016
Rising Sun Interactive,Free,2016-06-27,2015
"IMCGAMES Co.,Ltd.",Free to Play,2015-05-08,2016
L. Stotch,Free To Play,2016-08-31,2016
Juppiomenz,Free to Play,2017-08-18,2017
FantaBlade Network,Free,2017-12-28,2017
lightUP,Free,2006-12-17,2017
Fatshark,Free to Play,2014-06-11,2015
Quality Simulations,Free to Play,2016-01-14,2015
Andrii Vintsevych,Free,2017-08-09,2009
"SmiteWorks USA, LLC",Free,2017-08-29,2017
HellconX© Studio's,Free,2014-12-30,2016
Netker Inc.,Free to Play,2017-10-03,2016
2017,Free To Play,2017-12-15,2016
Stunlock Studios,Free To Play,2012-09-25,2017
Dragon Foundry,Free To Play,2015-06-02,2017
2014-10-09,Free,2016-02-29,2015
"Jarbit,Castle art by Yuriy Gusev",Free,2017-08-22,2015
PinkySwear,Free,2015-06-10,2017
NS STUDIO,Free To Play,2015-09-23,2017
2010-04-16,Free,2017-06-05,2017
"F.U.U.M. Co., Ltd.",Free To Play,2013-10-14,2017
Allods Team,Free,2015-12-21,2017
Stardock Entertainment,Free to Play,2015-02-17,2015
2016-07-21,Free to Play,2013-04-11,2017
Quiet River,Free,2015-05-04,2017
2016-10-27,Free to Play,2017-02-27,2013
2016-03-02,Free,2014-03-24,2010
Naev Team,Free,2016-03-10,2017
lingtanstudio,Free To Play,2017-08-02,2017
Avallon Alliance,Free To Play,2008-10-16,2017
Solid Patterns,Free To Play,2017-05-29,2017
Scirra,Free to Use,2002-11-01,2013
Quiet River,Free,2017-02-28,2017
2014-07-21,Free,2015-05-20,2013
Tactic Studios Inc.,Free to Play,2017-08-18,2015
Creative Assembly,Free to Play,2017-11-22,2016
Alien Pixel Studios,Free To Play,2015-08-14,2016
Game Science,Free to Play,2016-05-18,2016
Omniconnection,Free to Play,2017-09-19,2017
GAMESinFLAMES,Free To Play,2015-10-21,2017
Rubicon Development,Free To Play,1995-04-30,2015
Wacha,Free,2016-07-15,2015
Stunlock Studios,Free to Play,2017-02-24,2011
Imigea Ltd,Free to Play,2016-12-02,2016
Glyph Worlds,Free To Play,2011-08-12,2017
Ebullience Games,Free To Play,2015-12-03,2017
Masthead Studios Ltd,Free to Play,2015-06-04,2014
LOVIGAME,Free,2017-04-18,2017
Optical Override,Free,2017-11-29,2017
2016-02-01,Free,2017-02-28,2017
CCP,Free,2017-09-28,2003
2016-04-27,Free To Play,2017-08-29,2017
Ion Storm,Free,2017-08-24,2015
Brave Little Studios,Free To Play,2016-09-20,2017
Benjamin Bryant,Free,2017-11-07,2014
Endless Loop Studios,Free,2010-11-05,2017
"LRDGames, Inc.",Free to Play,2015-09-04,2015
Luminy Studios,Free to Play,2014-06-19,2015
Darklight Games,Free,2015-05-15,2009
Team Full Sail,Free,2013-02-26,2017
"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)",Free,2010-09-01,2016
2016-05-11,Free,2017-04-18,2017
Monster Games,Free,2017-09-19,2016
Quiet River,Free,2009-07-21,2017
Mechanical Boss,Free To Play,2016-06-07,2016
Dicesuki,Free To Play,2015-04-21,2017
Eidos Montreal,Free to Play,2017-04-05,2017
Mad Otter Games,Free To Play,2017-06-02,2014
Saibot Studios,Free,2017-07-11,2016
2016-08-24,Free To Play,2016-08-26,2017
2017-07-28,Free To Play,2017-01-19,2016
Mechanist Games,Free to Play,2016-01-18,2014
Codename Entertainment Inc.,Free to Play,2014-07-31,2017
"SmiteWorks USA, LLC",Free,2014-09-16,2017
SecureMix LLC,Free To Play,2017-07-11,2016
2016-11-04,Free To Play,2015-07-03,2016
2010-03-17,Free,2017-06-30,2014
Teletower Studios,Free To Play,2017-09-25,2017
Fabio Ferrara,Free,2016-07-06,2016
Ankama Studio,Free,2013-01-22,2016
Frogdice,Free To Play,2016-07-12,2017
Musopia,Free,2017-07-21,2016
Peak Angle Team,Free,2015-11-24,2017
2017-03-01,Free,2017-05-17,2015
Logic Artists,Free,2017-07-27,2017
Ubisoft Montreal,Free to Play,2017-02-07,2015
Landfall,Free,2012-05-22,2015
Saibot Studios,Free,2014-07-21,2016
Shadow Masters,Free to Play,2017-12-01,2015
2012-12-11,Free,2015-11-02,2016
Drago Entertainment,Free to Play,2017-06-13,2015
Eutechnyx,Free,2017-08-16,2016
Actoz Soft,Free To Play,2017-02-14,2017
momoStorm Entertainment,Free to Play,2014-07-01,2015
2015-08-03,Free,2004-06-02,2015
SUPERCORE Games,Free,2010-06-22,2016
2012-08-28,Free To Play,2017-12-03,2016
NIMONIX,Free to Play,2015-11-03,2016
Luis Eduardo Guedes Martins,Free,2015-04-22,2017
777 Studios,Free to Play,2016-03-08,2013
Grzegorz Slazinski,Free to Try,2017-04-03,2008
2016-10-24,Free To Play,2010-11-09,2016
MING-CHIEN LEE,Free,2017-02-06,2017
Team B.R.O.S.,Free To Play,2012-11-14,2017
Ronimo Games,Free To Play,2009-05-26,2012
Crytek,Free to Play,2014-07-25,2014
Nestor Yavorskyy,Free,2012-11-01,2017
BANDAI NAMCO Studios Inc.,Free,2009-01-30,2017
Carbon Studio,Free,2017-06-16,2016
BANDAI NAMCO Studios Inc.,Free,2013-12-17,2017
The Simutrans Team,Free,2017-10-12,2016
Ninja Kiwi,Free To Play,2016-02-08,2017
Albatros Softworks,Free,2017-09-20,2017
Theory Georgiou,Free to Play,2015-08-24,2016
上海班图网络科技有限公司,Free To Play,2017-12-12,2017
Thylacine Studios,Free,2016-01-28,2016
2017-04-05,Free,2014-08-19,2017
"FarSight Studios, Inc.",Free to Play,2014-08-15,2016
Milestone S.r.l.,Free,2017-10-26,2016
Campus ADN 2015-2016,Free To Play,2016-02-12,2017
Jumpsky.co,Free,2017-03-30,2017
Vladimir Maslov,Free To Play,2017-04-18,2016
Saddletrip,Free,2016-01-20,2017
Brewsterland Studios,Free To Play,2013-09-09,2017
Roman Kozhukhov,Free To Play,2016-02-26,2017
The Game Creators,Free,2016-05-23,2016
DL Softworks,Free To Play,2014-10-24,2016
Adhoc Games,Free,2017-03-06,2016
David Cross,Free,2017-03-07,2016
TerkStudios,Free,2012-10-16,2017
WARTEAM,Free to Play,2012-11-13,2015
Duion,Free to Play,2017-02-15,2014
Dark Day Interactive,Free to Play,2016-02-25,2015
Vashta Entertainment,Free,2017-09-18,2017
Basilisk Games,Free,2016-06-10,2007
Gameloft,Free to Play,2017-03-28,2017
2015-06-09,Free,2017-10-24,2015
"Asmodee Digital,Playsoft,Z-Man Games",Free to Play,2012-04-20,2017
Shugasu UG,Free To Play,2012-12-11,2016
Puny Human,Free,2012-10-23,2005
Scarlet String Studios,Free to Play,2015-06-01,2016
Fox Dawn,Free To Play,2016-06-01,2016
2015-12-08,Free,2017-09-25,2017
Mikael Kinnander,Free,2015-09-29,2016
2017-12-20,Free to Play,2017-05-10,2017
Red Team Games,Free to Play,2017-04-24,2015
Envision Entertainment,Free To Play,2015-04-20,2016
nanos GbR,Free,2017-07-14,2017
Woodsy Studio,Free To Play,2009-07-17,2017
Demiurge Studios,Free to Play,2013-10-22,2013
webgames,Free to Play,2003-10-29,2015
Pavo Studio,Free,2015-09-21,2017
"Synapse Games,Chinzilla",Free to Play,2017-03-23,2017
Exozet,Free To Play,2017-06-16,2017
"Strata Mixed Reality, Inc.",Free,2017-09-01,2017
Oryx Design Lab,Free to Play,2017-12-20,2014
2017-10-06,Free,2016-12-06,2016
"galanti,Den-fami Nico Game Magazine",Free,2017-06-21,2016
Robert Ferry,Free,2016-10-28,2017
Obsidian Entertainment,Free,2014-03-25,2017
2015-12-01,Free,2015-07-01,2017
Stanton DJ,Free,2017-08-03,2016
FX Games Media,Free To Play,2017-12-20,2016
2017-09-26,Free,2010-11-17,2016
2015-11-03,Free,2013-11-19,2017
2015-11-12,Free To Play,2015-11-11,2017
2016-10-14,Free To Play,2017-09-28,2001
Panoramik Inc,Free,2014-10-07,2017
ObsessionSoft,Free,2017-07-17,2017
Michael McCartney,Free,2015-01-23,2017
Croteam,Free,2017-11-03,2014
dlan,Free,2017-02-24,2014
GB Patch Games,Free To Play,2016-07-20,2017
Marxnet,Free to Play,2017-09-25,2015
Lost-Ride Studios,Free to Play,1998-08-25,2017
Gameguyz,Free to Play,2014-11-25,Jan 
JED GAMES,Free to Play,2017-10-03,2016
BlackSpot Entertainment,Free To Play,2016-08-12,2017
Ithaqua Labs,Free,2016-12-28,2017
"OrangeGames,YoudaGames",Free To Play,2015-09-17,2017
"BABY DUKA,BD Games",Free,2011-09-30,2016
Lag Studios,Free to Play,2017-12-01,2015
Fast Fall Studios,Free,2015-10-01,2017
StevenHarmonGames,Free,2016-12-06,2017
Fallen Snow Studios,Free To Play,2017-11-03,2017
rebel rabbit,Free To Play,2013-03-30,2016
Pragmatix Ltd,Free To Play,2012-10-16,2017
Gnarled Scar Manipulations,Free,2014-10-29,2015
2017-03-09,Free,2007-05-31,2017
Kokua Games,Free,2015-02-13,2016
Sceelix,Free to Play,2016-04-26,2016
Jorge Giner Cordero,Free,2015-07-08,2016
Stainless Games Ltd.,Free to Play,2016-10-25,2015
2016-09-01,Free to Play,2017-08-24,2017
DiP Online,Free To Play,2015-11-05,2016
Monster Games,Free To Play,2017-08-29,2016
Rotten Mage,Free to Play,2015-07-07,2016
Nordcurrent,Free To Play,2017-12-19,2017
7 Road,Free To Play,2015-01-15,2016
Absorbed Studios,Free To Play,2017-11-14,2017
Psychic Software,Free To Play,2015-07-08,2014
Exe Games Inc.,Free to Play,2017-09-17,2012
Retrocade.net,Free,2017-07-18,2015
Deckbound,Free To Play,2014-06-30,2017
Llama Software,Free To Play,2016-09-12,2017
2012-11-08,Free,2017-04-06,2017
Absolutist Ltd.,Free To Play,2014-10-30,2016
BitSits Games,Free Demo,2015-06-23,2012
Playsaurus,Free To Play,2013-11-22,2016
electrolyte,Free,2007-11-21,2017
Skylar Stickley,Free,2013-06-05,2017
Wish Fang,Free To Play,2017-10-10,2016
2017-06-23,Free to Play,2015-08-11,2013
"Mokylin Tech. Co.,Ltd",Free to Play,2017-08-29,2017
LongYou Game,Free To Play,2017-01-10,2017
Lince Works,Free,2011-12-24,2016
ebi-hime,Free,2017-03-17,2017
2017-05-12,Free To Play,2016-01-25,2009
2015-07-30,Free,2017-08-08,2010
2016-02-11,Free,2015-01-22,2014
Causa Creations,Free,2017-11-24,2017
dotBunny,Free to Play,2016-10-10,2014
Microsoft Game Studios,Free,2014-08-08,2017
"S2 Games, LLC",Free to Play,2015-12-31,2016
Ice Water Games,Free,2015-01-20,2015
Star Gem Inc.,Free to Play,2017-11-30,2013
"Monolith Productions, Inc.",Free,2016-06-01,2017
Talpel Games,Free To Play,1995-11-11,2017
2017-08-31,Free,2015-05-22,2016
JoqLePecheur,Free,2017-11-23,2016
Turtle Rock Studios,Free to Play,2017-07-26,2015
Spasman Games,Free To Play,2017-05-02,2017
Monster Games,Free,2013-06-25,2017
Fula Fisken,Free To Play,2014-11-06,2016
Tabletopia Inc.,Free to Play,2017-10-27,2016
Laminar Research,Free,2017-10-19,2017
Spicy Horse,Free to Play,2017-10-19,2014
Camex Games,Free To Play,2013-06-24,2017
Desert Owl Games LLC,Free to Play,2017-11-14,2014
Träumendes Mädchen,Free,2014-12-16,2017
2013-08-27,Free,2017-09-06,2017
LaboRatStudio,Free To Play,2017-06-27,2015
Blue Byte,Free to Play,2017-04-27,2015
BANDAI NAMCO Studios Inc.,Free,2015-07-10,2017
Ithaqua Labs,Free,2017-04-26,2017
Valve,Free,2015-07-23,2010
"MWC,David J. Franco",Free,2014-02-05,2017
Stegalosaurus Game Development,Free,2015-07-03,2016
2005-11-17,Free,2017-05-04,2016
2015-12-22,Free,2015-11-03,2013
Bruno MARTIOL,Free,2013-02-07,2017
"Psychic Software,Goblin Portal",Free To Play,2015-04-28,2016
Saucer Software,Free To Play,2012-02-29,2008
2014-12-22,Free,2015-04-21,2017
2016-06-21,Free,2016-04-06,2016
Harry Gill,Free,2014-11-05,2017
ecoddr,Free To Play,2017-03-28,2017
ARTDINK,Free,2015-09-24,2015
"ACSourse,Gamieon, Inc.",Free,2006-11-29,2016
Grey Gods,Free,2007-08-11,2017
Animus Interactive Inc,Free to Play,2009-09-04,2016
Ran,Free To Play,2015-12-07,2017
Basaltic studio,Free,2013-02-22,2016
Frogwares,Free to Play,2017-06-07,2008
X-Legend,Free To Play,2017-05-18,2017
"Strata Mixed Reality, Inc.",Free,2015-04-24,2017
Flyleap Studios,Free To Play,2016-09-06,2016
Watercress Studios,Free To Play,2013-04-12,2016
Silk Games,Free,2016-01-22,2016
Red Duck Inc.,Free to Play,2016-09-01,2011
"Michael Kissinger,Marco Hulden,Shaun Egan,Joshua Marks,Denys Ovsiannykov",Free to Play,2016-12-01,2014
Home Net Games,Free To Play,2015-03-19,2016
ICE Entertainment,Free,2017-10-26,2016
Tzar Leonardi,Free,2016-01-14,2017
Anton Gerdelan,Free,2016-03-31,2016
2017-06-22,Free,2012-10-25,2017
2017-02-20,Free to Play,2008-10-19,2014
2016-06-14,Free,2017-07-25,2013
Overgroup,Free To Play,2016-07-27,2017
Heroic Games,Free,2015-07-20,2016
NS STUDIO,Free,2016-03-28,2017
Vile Monarch,Free,1999-01-01,2017
Consala Games,Free To Play,2016-03-31,2017
Osky Studios,Free To Play,2017-12-18,2017
2012-09-19,Free to Play,2016-07-05,2017
Fuero Games,Free to Play,2017-04-25,2016
Queen Birdface Productions,Free,2016-09-29,2015
Futuremark,Free to Play,2017-08-22,2015
Bossa Studios,Free to Play,2017-02-24,2016
Artogon,Free To Play,2013-09-07,2016
Monster Games,Free To Play,2015-03-10,2016
Bad Pixel,Free to Play,2017-08-23,2016
Absolutist Ltd,Free To Play,2017-01-10,2017
Daybreak Game Company,Free to Play,2017-03-30,2012
Yo252yo,Free,2017-09-27,2017
2015-10-30,Free,2016-09-22,2016
Subvert Games,Free to Play,2010-03-23,2016
"KADOKAWA,Yoji Ojima,Studio Saizensen",Free,2017-02-22,2016
SG Data,Free To Play,2017-10-12,2017
GDT Limited,Free to Play,2012-03-30,2015
2016-08-29,Free,2016-09-08,2017
Ebullience Games,Free To Play,2017-07-11,2017
The Simutrans Team,Free,2017-12-20,2016
Rogue Snail,Free,2014-02-20,2015
The Revera Corporation,Free,2017-01-27,2017
BattleGoat Studios,Free,2017-01-10,2016
N3V Games,Free To Play,2009-04-02,2016
DL Softworks,Free,2017-08-31,2016
Hardsuit Labs,Free to Play,2012-10-16,2012
the whale husband,Free,2013-08-02,2015
"F.U.U.M. Co., Ltd.",Free To Play,2015-02-12,2017
2017-07-14,Free,2011-01-28,2017
Musopia,Free,2015-07-03,2016
2015-09-10,Free,2015-07-23,2016
"Tripwire Interactive,Kernow Interactive",Free,2015-12-09,2016
深圳市云宙多媒体,Free,2015-12-28,2017
Reactive Drop Team,Free,2015-04-20,2017
ebi-hime,Free to Play,2017-05-11,2016
Starodymov,Free,2016-07-14,2016
"Standing Stone Games, LLC",Play for Free!,2017-02-14,2012
Ran,Free To Play,2016-07-12,2017
"Entwell Co., Ltd.",Free to Play,2017-06-15,2017
2016-08-26,Free To Play,2016-12-20,2014
Holyday Studios,Free To Play,2017-01-21,2017
Unreal Software,Free To Play,2017-03-15,2004
Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa,Free To Play,2017-07-27,2016
Christopher Howard,Free To Play,2013-04-03,2017
Daybreak Game Company,Free to Play,2017-08-24,2012
Top Shelf Studios,Free,2017-08-23,2017
Net Dragon,Free To Play,2015-05-07,Jan 
Monster Games,Free,2018-03-30,2016
The Simutrans Team,Free,2014-02-18,2016
2017-10-06,Free To Play,2011-06-30,2017
2017-02-10,Free To Play,2012-02-28,2015
Studio Namaapa,Free,2016-12-13,2017
Stolen Couch Games,Free,2012-07-10,2015
Bytebin,Free to Play,2015-05-29,2015
Kidalang,Free to Play,2015-05-29,2015
Fishing Planet LLC,Free to Play,2016-05-17,2015
Insane Mind Games,Free,2017-09-20,2016
Sandstorm Productions,Free,2011-12-16,2008
8-Bit Studio,Free to Play,2016-06-06,2017
2017-09-21,Free,2016-12-21,2017
2017-04-28,Free to Play,2015-03-10,2012
Motiga Inc.,Free To Play,2016-07-27,2017
Vaclav Hudec,Free,2015-10-20,2016
